Wall time,Step,Value
1582821569.222226,261337,-46.2917594909668
1582821569.612985,261853,-42.83110427856445
1582821570.6223102,263303,-25.8654727935791
1582821570.8418293,263705,-25.205049514770508
1582821571.9105036,264971,-17.543716430664062
1582821572.1481597,265211,-11.97904109954834
1582821573.7877097,267264,2.531609296798706
1582821574.3893597,267746,3.249691963195801
1582821578.0293934,269773,4.913093566894531
1582821578.1642747,269868,8.293917655944824
1582821579.046327,270954,8.11812973022461
1582821579.278695,271377,6.678284645080566
1582821579.8118412,272167,4.920775413513184
1582821580.112017,272540,3.6235909461975098
1582821587.3164074,276171,1.4322863817214966
1582821588.05489,277016,-0.5915128588676453
1582821588.1009414,277078,0.40771210193634033
1582821593.0547543,280013,1.360342264175415
1582821593.3729556,280177,1.8111212253570557
1582821602.6062126,285086,-5.3460373878479
1582821604.2546644,286464,-6.3885178565979
1582821611.2725983,290470,-8.639851570129395
1582821611.8777785,291141,-7.755599498748779
1582821612.1002223,291480,-6.376092910766602
1582821612.2541056,291746,-8.426511764526367
1582821612.4622278,292097,-7.522831439971924
1582821613.600272,294017,-7.216798305511475
1582821613.9600408,294625,-6.6772918701171875
1582821617.2628052,297344,-8.853160858154297
1582821622.414538,300009,-8.666230201721191
1582821624.471128,301348,-7.268117904663086
1582821625.2464993,302020,-6.512853145599365
1582821627.368622,303966,-4.202428340911865
1582821628.7541997,305099,-3.5732274055480957
1582821629.6729805,306025,0.442825585603714
1582821629.7898035,306195,-0.7561101913452148
1582821631.8048775,308056,-0.6419585347175598
1582821632.1674137,308318,-1.4351903200149536
1582821633.3946736,309322,-2.284090280532837
1582821635.7246618,311454,-3.332395076751709
1582821635.8059516,311524,-4.286706447601318
1582821637.9550164,314101,-17.329742431640625
1582821637.9823747,314151,-21.492855072021484
1582821638.0363157,314277,-23.428218841552734
1582821638.0684853,314359,-25.1585693359375
1582821638.4629598,315059,-29.410200119018555
1582821638.507501,315163,-31.190799713134766
1582821638.8460033,315800,-32.926841735839844
1582821639.4359043,316689,-36.24367141723633
1582821639.5631363,316848,-38.85737609863281
1582821639.9471502,317347,-38.83224868774414
1582821645.6239266,323769,-24.14625358581543
1582821647.2589366,325396,-17.303293228149414
1582821647.8427963,325964,-16.32111930847168
1582821648.081481,326298,-16.108488082885742
1582821648.9035563,327124,-18.28122329711914
1582821649.0104265,327243,-18.24814796447754
1582821649.993973,328207,-17.810020446777344
1582821650.3566206,328761,-10.231589317321777
1582821650.4782374,328987,-9.95590877532959
1582821650.5818741,329182,-9.1082124710083
1582821650.590327,329199,-9.700065612792969
1582821650.8304489,329655,-11.868208885192871
1582821650.9380395,329871,-12.7032470703125
1582821651.2245948,330343,-12.785901069641113
1582821651.937117,331141,-13.679830551147461
1582821652.6944613,331883,-10.889376640319824
1582821654.0330918,332825,-7.962137699127197
1582821655.922338,334448,-4.435494899749756
1582821656.67052,335202,-2.4695236682891846
1582821657.1862645,335793,-1.5803664922714233
1582821657.4552443,336073,0.5553282499313354
1582821657.8999848,336590,1.5196651220321655
1582821657.985061,336682,4.485166072845459
1582821661.0011442,340416,23.503320693969727
1582821661.04554,340527,24.113969802856445
1582821661.1528308,340808,22.094715118408203
1582821661.336777,341253,22.574119567871094
1582821661.4136877,341403,23.81436538696289
1582821661.517287,341521,25.176740646362305
1582821661.6311204,341645,25.197032928466797
1582821661.9263709,342066,28.226547241210938
1582821662.236386,342411,31.478147506713867
1582821662.335436,342576,33.62032699584961
1582821662.5053802,342781,37.03086853027344
1582821662.679001,342958,38.225486755371094
1582821662.7697356,343098,41.50295639038086
1582821663.1677737,343589,48.52070236206055
1582821663.2213798,343680,49.73235321044922
1582821663.4697216,343979,51.34054946899414
1582821663.6164768,344147,51.8726692199707
1582821663.6618912,344249,51.9708251953125
1582821663.8772771,344779,54.964054107666016
1582821663.9152584,344873,55.37588882446289
1582821664.2094767,345232,55.90669250488281
1582821664.2719634,345290,56.64128494262695
1582821664.2953174,345329,56.76134490966797
1582821664.3452504,345453,55.257877349853516
1582821664.8904352,346277,56.497222900390625
1582821664.952694,346372,56.972862243652344
1582821665.1776056,346768,54.8056526184082
1582821665.5510015,347541,58.34810256958008
1582821665.69119,347804,57.07940673828125
1582821665.77177,348007,56.135311126708984
1582821666.0143232,348548,58.82551193237305
1582821666.3000853,349166,57.2807731628418
1582821666.7993743,349928,59.008514404296875
1582821667.1677146,350414,56.682151794433594
1582821667.5964746,350917,59.76839828491211
1582821667.6429615,350979,62.301204681396484
1582821668.1502733,351674,68.22989654541016
1582821669.960709,353490,75.04061126708984
1582821670.5369875,354094,76.53728485107422
1582821676.5202463,356927,76.36734771728516
1582821677.81474,357494,76.87913513183594
1582821678.4389408,358002,75.9277572631836
1582821680.5332334,360420,69.36194610595703
1582821681.8661702,361466,65.36201477050781
1582821682.4232967,361920,64.11006927490234
1582821682.858705,362259,59.85308837890625
1582821683.1600873,362591,56.98564910888672
1582821683.6054544,363101,49.844757080078125
1582821683.9060414,363619,46.28425979614258
1582821684.8481226,364922,38.97559356689453
1582821684.862356,364932,37.59026336669922
1582821685.4287157,365506,37.25908660888672
1582821686.2165534,366437,37.098628997802734
1582821687.1896734,367389,34.512107849121094
1582821687.6631181,367795,35.26105880737305
1582821687.7032163,367845,34.19919967651367
1582821688.0715513,368349,33.41482925415039
1582821688.1437182,368451,32.363365173339844
1582821688.6604657,369079,31.006996154785156
1582821689.173168,369734,29.834104537963867
1582821690.907996,371400,29.50408935546875
1582821694.188287,374140,28.887422561645508
1582821695.198147,375260,28.824996948242188
1582821695.2696621,375336,28.147136688232422
1582821695.320823,375407,28.486848831176758
1582821695.8491764,376124,27.704559326171875
1582821698.254746,378469,25.928817749023438
1582821699.4099102,379753,30.94231605529785
1582821699.9703422,380439,31.801633834838867
1582821700.2483244,380745,30.906997680664062
1582821701.6379278,382217,27.661958694458008
1582821702.965624,383697,22.48183822631836
1582821704.9609613,385748,13.250732421875
1582821705.029867,385846,10.3700532913208
1582821705.3322132,386281,10.238131523132324
1582821705.6290946,386765,6.215335369110107
1582821706.193932,387663,4.140216827392578
1582821706.6752687,388190,4.573917865753174
1582821707.2956364,388897,3.7376508712768555
1582821707.7449949,389279,4.599450588226318
1582821708.320706,389793,3.599879264831543
1582821709.0686257,390555,3.6467196941375732
1582821709.5447657,391034,2.3074088096618652
1582821710.2493699,391757,-5.708983421325684
1582821713.8627696,395935,-17.197193145751953
1582821714.1552322,396183,-15.181539535522461
1582821714.1790297,396214,-16.530385971069336
1582821714.1844609,396223,-14.687430381774902
1582821715.3517325,397991,-13.148213386535645
1582821717.8788042,400227,-9.355488777160645
1582821718.152291,400506,-6.939947605133057
1582821718.8810916,401353,-4.628117084503174
1582821718.9565423,401457,-4.376854419708252
1582821719.0506084,401593,-6.688553810119629
1582821719.7858036,402603,-3.192082405090332
1582821720.216086,403153,-3.6554157733917236
1582821722.707018,405086,0.026902325451374054
1582821723.4815605,405706,4.669106483459473
1582821723.9130607,406162,6.665002822875977
1582821725.2670858,407443,6.78887414932251
1582821725.838445,408028,10.613743782043457
1582821729.593545,410868,12.596085548400879
1582821734.8121374,415036,20.672195434570312
1582821737.1368678,417035,21.377187728881836
1582821742.3940308,421026,26.282947540283203
1582821743.978668,422128,24.4302978515625
1582821747.9559324,425391,12.952219009399414
1582821748.1593988,425725,13.622359275817871
1582821748.775248,426656,9.825532913208008
1582821750.1503916,428675,8.467945098876953
1582821750.9392664,429739,7.522740840911865
1582821751.0134342,429862,7.970234394073486
1582821751.349529,430482,4.794212341308594
1582821751.452577,430674,4.3393168449401855
1582821752.0843968,431597,-0.37521040439605713
1582821752.3590183,432060,-1.2667838335037231
1582821752.444866,432207,-0.884485125541687
1582821752.913526,432821,-0.43144676089286804
1582821758.8584313,437459,2.273099422454834
1582821759.1437883,437721,1.1535755395889282
1582821759.2684824,437840,0.8090566992759705
1582821759.7219734,438260,2.43111515045166
1582821760.5462618,438917,1.9093667268753052
1582821762.753657,440225,1.6536778211593628
1582821763.1294563,440384,3.4225070476531982
1582821763.3503172,440496,3.4022703170776367
1582821765.7523284,441847,4.667123794555664
1582821765.9759374,441929,4.101599216461182
1582821771.4834917,444388,5.053367614746094
1582821780.4718244,448504,8.67389965057373
1582821781.4887269,449183,10.5471773147583
1582821782.6294866,450264,15.125295639038086
1582821782.688187,450308,15.514399528503418
1582821782.8279235,450512,16.514019012451172
1582821783.3790565,451120,20.044166564941406
1582821784.4461083,452389,27.462533950805664
1582821784.6922657,452788,24.580738067626953
1582821785.3312747,453556,22.757001876831055
1582821785.9971426,454496,20.356950759887695
1582821786.170611,454795,17.583263397216797
1582821786.2387676,454882,16.30858039855957
1582821786.6045682,455516,16.108827590942383
1582821786.7297575,455656,18.258203506469727
1582821787.0249043,456120,23.325050354003906
1582821787.0477731,456168,21.959827423095703
1582821787.6882277,457324,31.665372848510742
1582821787.7935877,457463,33.7904052734375
1582821787.9136202,457581,35.06268310546875
1582821788.5249593,458600,45.809730529785156
1582821788.6241739,458706,46.97705078125
1582821789.6402817,460257,66.4693374633789
1582821790.0533674,460842,67.2408447265625
1582821790.353027,461176,75.73663330078125
1582821791.0729039,462017,83.29454803466797
